newsId,deliveredDate,sessionId,rank,title,source,category,summary
ai-news-20260512-72b855-06-dd848127c9,2026-05-12,cron_72b8559a0f49_20260512_210047,6,中国四大开源编程模型12天内密集轰炸,Air Street Press（5月）,产品/模型,Z.ai GLM-5.1、MiniMax M2.7、Moonshot Kimi K2.6、DeepSeek V4在12天窗口内接连发布，在智能体编程能力上追平西方前沿水平，但推理成本显著更低。
ai-news-20260512-72b855-07-4adf329695,2026-05-12,cron_72b8559a0f49_20260512_210047,7,Meta AI资本支出翻倍至1150-1350亿美元，发布Muse Spark,CNBC / Crescendo（4月-5月）,融资/资本市场,Meta宣布2026年AI资本支出高达1150-1350亿美元（近乎翻倍），首席AI官Alexandr Wang主导的首个大模型Muse Spark正式亮相，全力追赶OpenAI与Google。
ai-news-20260512-72b855-08-a71390da04,2026-05-12,cron_72b8559a0f49_20260512_210047,8,Shield AI完成15亿美元G轮融资，国防AI赛道升温,Crescendo（5月）,融资/资本市场,📌 来源涵盖 Reuters、The Guardian、NYT、CNBC、BBC、TechCrunch、Air Street Press 等。
ai-news-20260513-72b855-01-a77aac0bd4,2026-05-13,cron_72b8559a0f49_20260513_210015,1,Anthropic拟融资300-500亿美元，估值剑指9500亿,《纽约时报》（5月12日）,融资/资本市场,AI明星公司Anthropic正与投资者洽谈新一轮融资，计划筹集300亿至500亿美元，估值最高可达9500亿美元，若成行将刷新AI行业融资纪录。
ai-news-20260513-72b855-02-20c26d58fa,2026-05-13,cron_72b8559a0f49_20260513_210015,2,"Google警告：AI驱动的网络攻击已升级为""工业级""威胁",《卫报》/ Google Cloud（5月11日）,安全/网络安全,Google威胁情报小组（GTIG）发布报告称，短短三个月内AI辅助黑客攻击已从小规模问题演变为工业级威胁，首次发现犯罪团伙利用AI模型发现零日漏洞并险些发动大规模攻击，影响范围涉及中、俄、朝等多国黑客组织。
ai-news-20260513-72b855-03-feec7f2293,2026-05-13,cron_72b8559a0f49_20260513_210015,3,英伟达2026年AI股权投资超400亿美元，领投OpenAI 300亿,The AI Insider（5月11日）,算力/基础设施,英伟达今年已承诺超400亿美元用于AI股权投资，其中仅OpenAI一笔就达300亿。此外还参与了约20家私营AI初创公司的融资轮，并投资了康宁（$32亿）和IREN数据中心（$21亿）等7家上市公司。
ai-news-20260513-72b855-04-6766cb0491,2026-05-13,cron_72b8559a0f49_20260513_210015,4,欧盟就简化AI监管规则达成临时协议，多项期限推迟,路透社 / 欧盟理事会（5月7日）,监管/政策,"欧盟成员国与欧洲议会达成临时协议，对《AI法案》进行""缩水版""简化调整：AI监管沙盒设立期限推迟至2027年8月，AI生成内容水印透明度规则推迟至2026年12月，被批评为向美国科技巨头让步。"
ai-news-20260513-72b855-05-4629cad5a7,2026-05-13,cron_72b8559a0f49_20260513_210015,5,特朗普政府将预先审查Google、微软、xAI新AI模型,CNBC / Forbes（5月5日）,安全/网络安全,美国AI标准与创新中心（CASI）宣布与Google DeepMind、微软和马斯克旗下xAI达成协议，将在其AI模型公开发布前进行安全评估。此前白宫已与Anthropic、OpenAI等高层展开磋商，标志着美国AI安全监管实质性升级。
ai-news-20260513-72b855-06-27c9344a2c,2026-05-13,cron_72b8559a0f49_20260513_210015,6,Snap：AI已生成超65%新代码，年化节省5亿美元,Crescendo（5月）,融资/资本市场,Snap公司披露其新代码已有超过65%由AI生成，公司重组预计到2026年下半年实现年化成本节约超5亿美元，正加速向盈利目标迈进。
ai-news-20260513-72b855-07-5ecec12d55,2026-05-13,cron_72b8559a0f49_20260513_210015,7,OpenAI推出40亿美元AI服务公司，跟进Anthropic企业级布局,CRN（5月）,企业应用,OpenAI宣布成立AI服务公司，初期投资超40亿美元，紧随竞争对手Anthropic的类似举措，两家公司均在加码渠道合作伙伴计划，争夺企业级AI服务市场。
ai-news-20260513-72b855-08-798986228d,2026-05-13,cron_72b8559a0f49_20260513_210015,8,中国寻求获取Anthropic及OpenAI最新模型遭拒，中美AI差距扩大,《纽约时报》（5月12日）,产品/模型,报道称中国方面试图获取Anthropic和OpenAI的最新一代AI模型但被拒绝，美方评估认为美国在AI领域的领先优势正在进一步扩大，两国AI竞争持续加剧。
ai-news-20260516-72b855-01-53060f05cb,2026-05-16,cron_72b8559a0f49_20260516_210012,1,OpenAI在ChatGPT推出个人理财预览功能,OpenAI / Plaid,产品/模型,OpenAI向美国ChatGPT Pro用户开放个人理财体验预览，可通过Plaid连接银行、券商和信用卡账户，并基于个人财务上下文提问。
ai-news-20260516-72b855-02-6930af6610,2026-05-16,cron_72b8559a0f49_20260516_210012,2,OpenAI更新Codex：可在手机端远程管理编码任务,OpenAI,产品/模型,OpenAI称用户可通过ChatGPT移动应用“随时随地”使用Codex，实时监控、指导和批准跨设备/远程环境中的编程任务。
ai-news-20260516-72b855-03-b125ff9f03,2026-05-16,cron_72b8559a0f49_20260516_210012,3,英国监管机构提醒企业管控前沿AI风险,Reuters,企业应用,英国财政部、英格兰银行和金融行为监管局表示，企业应为新一代前沿AI模型带来的风险制定规划和缓解措施。
ai-news-20260516-72b855-04-a4bcefb151,2026-05-16,cron_72b8559a0f49_20260516_210012,4,OpenAI或因算力紧张继续融资,Bloomberg,算力/基础设施,OpenAI CFO Sarah Friar表示，即便刚完成“史上最大私人融资轮”，公司仍可能继续筹资以满足快速增长的AI算力需求。
ai-news-20260516-72b855-05-81ff93e9f7,2026-05-16,cron_72b8559a0f49_20260516_210012,5,Argentum AI签署25亿美元欧洲AI数据中心协议,Reuters / PRNewswire,算力/基础设施,AI基础设施公司Argentum AI与Boosteroid、DL Invest Group达成约25亿美元、300MW的数据中心合作协议，凸显AI算力基础设施投资热潮。
ai-news-20260516-72b855-06-532556ee92,2026-05-16,cron_72b8559a0f49_20260516_210012,6,Recursive Superintelligence带着6.5亿美元融资出场,TechCrunch / The New York Times,融资/资本市场,Richard Socher创办的Recursive Superintelligence出隐身，融资超6.5亿美元，目标是研发可自我改进的AI系统。
ai-news-20260516-72b855-07-9d1492437f,2026-05-16,cron_72b8559a0f49_20260516_210012,7,Runway押注视频与“世界模型”路线,TechCrunch,融资/资本市场,AI视频公司Runway表示，下一阶段AI智能可能来自视频生成和世界模型而非纯文本模型，并称其估值已达53亿美元。
ai-news-20260516-72b855-08-9c60dc4532,2026-05-16,cron_72b8559a0f49_20260516_210012,8,AI芯片公司Cerebras上市首日大涨,CNBC,算力/基础设施,Cerebras在纳斯达克首日交易上涨68%，市值约950亿美元，显示资本市场对AI芯片与算力公司的持续高热度。
ai-news-20260512-b69081-01-9b2a4edad3,2026-05-12,cron_b69081b81dcf_20260512_120004,1,"OpenAI成立""OpenAI Deployment Company""，加速企业AI部署",OpenAI官网 (5月11日),企业应用,"OpenAI宣布成立全新子公司""OpenAI Deployment Company""，专门帮助企业围绕AI智能构建和部署解决方案，标志着OpenAI从模型提供商向企业级服务平台的重大转型。"
ai-news-20260512-b69081-02-5dd2f0dc31,2026-05-12,cron_b69081b81dcf_20260512_120004,2,Google首次发现黑客利用AI发现未知软件漏洞,The New York Times (5月11日),安全/网络安全,"Google确认有犯罪黑客首次利用人工智能发现了一个此前未知的软件漏洞（零日漏洞）。专家警告称，这只是""未来更大威胁的预演""，AI驱动的网络攻击时代已经来临。"
ai-news-20260512-b69081-03-b47a6418a0,2026-05-12,cron_b69081b81dcf_20260512_120004,3,IBM报告：全球大多数企业已设立首席AI官（CAIO）,CNBC (5月11日),企业应用,IBM最新研究显示，大多数公司已正式设立首席人工智能官（CAIO）岗位，AI正在快速进入企业最高管理层（C-suite），成为董事会决策的核心角色。
ai-news-20260512-b69081-04-4d384d4116,2026-05-12,cron_b69081b81dcf_20260512_120004,4,Google I/O大会前曝光：7款隐藏Gemini Live模型正在测试,Forbes (5月11日),产品/模型,在5月底Google I/O 2026大会前夕，Google被发现在Gemini Live中秘密测试多款未公开的AI模型，暗示Voice Chatbot将迎来重大升级，可能涉及多模态实时交互能力。
ai-news-20260512-b69081-05-6c1ab9a6d1,2026-05-12,cron_b69081b81dcf_20260512_120004,5,欧盟就简化AI监管规则达成临时协议,Reuters / 欧盟理事会 (5月7日),监管/政策,历经12小时艰苦谈判，欧盟成员国与欧洲议会就简化和推迟AI法案实施达成临时协议。批评者指责此举表明欧洲在AI监管上向外部压力妥协。
ai-news-20260512-b69081-06-b7ceee5479,2026-05-12,cron_b69081b81dcf_20260512_120004,6,白宫考虑对前沿AI模型实施审查制度,Politico / Fortune (5月5日-7日),监管/政策,"白宫考虑通过行政令建立前沿AI模型审查机制，要求OpenAI、Anthropic等巨头在发布模型前接受影响评估。同时白宫官员表态更倾向与行业""合作""而非强制监管，政策方向仍在摇摆。"
ai-news-20260512-b69081-07-691c36e574,2026-05-12,cron_b69081b81dcf_20260512_120004,7,美国FDA推出Elsa 4.0 AI平台，加速药品审批智能化,FDA官网 (5月6日),产品/模型,美国食品药品监督管理局推出Elsa 4.0人工智能平台并完成数据系统整合，作为其机构现代化改革的核心举措，旨在利用AI提升药品审批和数据管理效率。
ai-news-20260512-b69081-08-ad42f13ef7,2026-05-12,cron_b69081b81dcf_20260512_120004,8,康涅狄格州通过SB5 AI法案，全面规范AI应用,DLA Piper (5月初),安全/网络安全,康涅狄格州通过SB5法案，涵盖AI伴侣合规、合成媒体透明度、自动化就业决策工具等领域，2026年起分阶段生效，成为美国州级AI立法的重要标杆。 💡 本周趋势： AI安全与监管成为绝对焦点——黑客利用AI发动攻击、欧盟简化AI规则、白宫摇摆于审查与合作之间，全球AI治理进入密集博弈期。与此同时，OpenAI和Google的产品生态扩张也在加速。
ai-news-20260513-b69081-01-9d732b61cd,2026-05-13,cron_b69081b81dcf_20260513_120032,1,"Google报告：AI驱动黑客攻击升级为""工业级""威胁",The Guardian / The New York Times（5月11日）,安全/网络安全,Google威胁情报组发现首例攻击者利用AI发现并武器化零日漏洞的案例，犯罪黑客组织使用商用AI模型批量扫描软件漏洞并发起大规模网络攻击，标志着AI网络犯罪进入新阶段。
ai-news-20260513-b69081-02-75672f588b,2026-05-13,cron_b69081b81dcf_20260513_120032,2,白宫转向：特朗普政府考虑对AI模型实施发布前审查,The New York Times（5月4日）,监管/政策,此前对AI持不干预立场的特朗普政府正在讨论在AI模型公开发布前进行审查和监管，标志着美国联邦AI监管思路的重大转变。
ai-news-20260513-b69081-03-6113a8dad0,2026-05-13,cron_b69081b81dcf_20260513_120032,3,美国情报机构争夺AI监管主导权,The Washington Post（5月11日）,安全/网络安全,随着白宫应对AI带来的网络安全威胁，国家安全官员积极寻求在AI监管中获得更大话语权，与商务部之间形成监管权博弈。
ai-news-20260513-b69081-04-2c6e51d125,2026-05-13,cron_b69081b81dcf_20260513_120032,4,OpenAI年化收入突破250亿美元，或于2026年底启动IPO,Crescendo.ai / 多家媒体,融资/资本市场,OpenAI年化收入已超过250亿美元，据报正在为上市做准备，最早可能在2026年底登陆公开市场，将成为近年来最大规模的科技IPO之一。
ai-news-20260513-b69081-05-03c9b25dc1,2026-05-13,cron_b69081b81dcf_20260513_120032,5,OpenAI发布GPT-5.5 Instant：更智能、更个性化,OpenAI官方（5月7日）,产品/模型,GPT-5.5 Instant正式发布，主打更清晰的回复、更强的个性化能力以及更快的推理速度。同时OpenAI开始在ChatGPT中测试广告功能。
ai-news-20260513-b69081-06-71bff7e9c1,2026-05-13,cron_b69081b81dcf_20260513_120032,6,IBM推出Red Hat AI Inference托管服务,IBM官方新闻室（5月12日）,企业应用,IBM宣布推出Red Hat AI Inference和OpenShift虚拟化服务两大托管产品，帮助企业加速AI部署与应用落地，强化混合云AI战略。
ai-news-20260513-b69081-07-efd8cb679f,2026-05-13,cron_b69081b81dcf_20260513_120032,7,微软发布Agent 365与Microsoft 365 E7，AI代理正式进入企业套件,Microsoft / SAMexpert（5月）,企业应用,微软推出Microsoft 365 E7（$99/用户/月）和Agent 365（$15），首次将AI代理作为独立产品纳入企业订阅体系，并更新了AI自动化使用的授权条款。
ai-news-20260513-b69081-08-2395105f37,2026-05-13,cron_b69081b81dcf_20260513_120032,8,Mistral发布128B旗舰模型，Le Chat新增Work智能代理模式,AIToolsRecap / MarketingProfs（5月3日）,产品/模型,法国AI公司Mistral推出128B参数旗舰模型，支持异步云编码会话，并在Le Chat中上线Work模式，推动AI从实验走向生产级业务流程。
ai-news-20260514-b69081-01-03185f0c9b,2026-05-14,cron_b69081b81dcf_20260514_121437,1,Anthropic 洽谈新一轮融资，估值或飙至9500亿美元,《纽约时报》(5月12日),融资/资本市场,Anthropic正与投资者洽谈新一轮融资，估值可能达9500亿美元，较三个月前的3800亿翻2.5倍，一举超越OpenAI的8520亿美元估值。此前Google已承诺向Anthropic投资高达400亿美元。
ai-news-20260514-b69081-02-4967073950,2026-05-14,cron_b69081b81dcf_20260514_121437,2,百度Create大会开幕，文心大模型5.1正式亮相,百度Create 2026开发者大会 (5月13日),产品/模型,文心5.1以业界仅6%的预训练成本实现领先水平，登顶LMArena搜索榜国内第一、全球第四，Agent能力超越DeepSeek-V4-Pro，创意写作与Gemini 3.1 Pro持平。
ai-news-20260514-b69081-03-48ee414e3e,2026-05-14,cron_b69081b81dcf_20260514_121437,3,DeepSeek 启动首轮外部融资，计划募资500亿元人民币,心流AI社区/多家媒体 (5月13日),融资/资本市场,DeepSeek正式启动首轮外部融资，募资规模达500亿元，创下中国AI史上最大单笔融资纪录，标志国产大模型资本化进入新阶段。
ai-news-20260514-b69081-04-d6c702ac5b,2026-05-14,cron_b69081b81dcf_20260514_121437,4,五角大楼部署Anthropic Mythos模型修补军方网络安全漏洞,路透社 (5月12日),企业应用,美国国防部正在部署Anthropic的Mythos模型，用于扫描和修补美军系统软件漏洞。Mythos此前因能发现所有主流操作系统和浏览器的零日漏洞而引发全球安全警报。
ai-news-20260514-b69081-05-d1f3e8642f,2026-05-14,cron_b69081b81dcf_20260514_121437,5,美国政府扩大前沿AI模型安全审查，白宫酝酿更严管控,Politico / Axios (5月5日),安全/网络安全,美国商务部AI标准与创新中心(CAISI)将Google DeepMind、Microsoft、xAI纳入强制安全测试计划。白宫正讨论一系列新的行政令，拟对前沿AI模型建立国家安全审查机制。
ai-news-20260514-b69081-06-5843bdb1ed,2026-05-14,cron_b69081b81dcf_20260514_121437,6,Google加速将Gemini嵌入Android，抢在苹果AI重启前卡位,CNBC (5月12日),产品/模型,Alphabet正全力将Gemini深度整合进Android系统，作为全线产品的AI骨干，在与OpenAI和Anthropic的模型竞赛中争夺移动端入口。
